ST_CASE,StateName,CountyName,CityName,Latitude,Longitude
130692,Georgia,JEFFERSON (163),NOT APPLICABLE,33.20140278,-82.41860833
130693,Georgia,COBB (67),MABLETON,33.81856111,-84.57735
130694,Georgia,DEKALB (89),Other,33.72769444,-84.28003889
130695,Georgia,GWINNETT (135),NORCROSS,33.92229167,-84.18951111
130696,Georgia,STEPHENS (257),NOT APPLICABLE,34.54222778,-83.362
130697,Georgia,GWINNETT (135),NOT APPLICABLE,33.95886111,-84.04075278
130698,Georgia,ELBERT (105),NOT APPLICABLE,34.08797778,-82.771725
130699,Georgia,LAURENS (175),DUBLIN,32.49378889,-82.93028056
130700,Georgia,MERIWETHER (199),NOT APPLICABLE,33.121475,-84.72808611
130701,Georgia,FULTON (121),FAIRBURN,33.57745278,-84.58420556
130702,Georgia,MADISON (195),NOT APPLICABLE,34.18678611,-83.23464722
130703,Georgia,DOUGLAS (97),LITHIA SPRINGS,33.80297222,-84.65133333
130704,Georgia,BERRIEN (19),NOT APPLICABLE,31.124375,-83.21337222
130705,Georgia,HARALSON (143),TALLAPOOSA,33.73920278,-85.26799722
130706,Georgia,TERRELL (273),NOT APPLICABLE,31.77051667,-84.55614444
130707,Georgia,WILKINSON (319),NOT APPLICABLE,32.78664167,-82.98401389
130708,Georgia,FANNIN (111),NOT APPLICABLE,34.88399444,-84.25470278
130709,Georgia,LAURENS (175),DUBLIN,32.56473056,-82.91636389
130710,Georgia,CARROLL (45),NOT APPLICABLE,33.65500833,-85.11369722
130711,Georgia,DOUGLAS (97),LITHIA SPRINGS,33.80214722,-84.64605556
130712,Georgia,JEFF DAVIS (161),NOT APPLICABLE,31.91133889,-82.51926111
130713,Georgia,BIBB (21),MACON,32.81889167,-83.66270556
130714,Georgia,CLAYTON (63),NOT APPLICABLE,33.59165,-84.38512222
130715,Georgia,FULTON (121),ATLANTA,33.74175833,-84.39199444
130716,Georgia,PICKENS (227),NOT APPLICABLE,34.46741111,-84.48403889
130717,Georgia,HART (147),NOT APPLICABLE,34.47255556,-83.06265278
130718,Georgia,RICHMOND (245),AUGUSTA,33.40553889,-82.06707778
130719,Georgia,CHATTOOGA (55),NOT APPLICABLE,34.56503056,-85.27806389
130720,Georgia,WASHINGTON (303),NOT APPLICABLE,33.15143333,-82.75838889
130721,Georgia,DEKALB (89),NOT APPLICABLE,33.762275,-84.19820278
130722,Georgia,WALKER (295),NOT APPLICABLE,34.943475,-85.27773611
130723,Georgia,TALIAFERRO (265),CRAWFORDVILLE,33.52731944,-82.89290556
130724,Georgia,DEKALB (89),NOT APPLICABLE,33.79282222,-84.21421944
130725,Georgia,GORDON (129),NOT APPLICABLE,34.50268889,-84.95528611
130726,Georgia,FORSYTH (117),NOT APPLICABLE,34.28788333,-84.08789167
130727,Georgia,CHATHAM (51),SAVANNAH,32.02011111,-81.11375833
130728,Georgia,MUSCOGEE (215),COLUMBUS,32.57531944,-84.96148056
130729,Georgia,HENRY (151),LOCUST GROVE,33.36178056,-84.12915
